FIELD_MGT_NO,EQ_NM,FWK_FCLT_NM,TASK_NM,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,QR,date
3-3B3-C-DDC-30239,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0040977,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
3-3B3-C-DDC-30238,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0040978,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
3-3B3-C-DDC-30236,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0040979,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
3-3B3-C-DDC-30235,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0040980,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
3-3H2-M-ERD-009,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0040981,외곽지역,제2교통센터,지상2층,미분류,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3H2-M-ERD-010,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0040982,외곽지역,제2교통센터,지상2층,미분류,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3B2-M-EXT-25103,팽창탱크(지열),팽창탱크(지열),기계,기계그룹-기계사업소-기계-0040983,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하1층,51섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
3-3B2-M-EXT-25102,팽창탱크(지열),팽창탱크(지열),기계,기계그룹-기계사업소-기계-0040984,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하1층,51섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
3-3B3-C-DDC-30245,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0040985,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
3-3B3-C-DDC-30243,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0040986,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
