FIELD_MGT_NO,EQ_NM,FWK_FCLT_NM,TASK_NM,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,QR,date
3-3H2-M-PAC-002,냉난방히트펌프(TC2),냉난방히트펌프(TC2),기계,기계그룹-기계사업소-기계-0040887,외곽지역,제2교통센터,지상1층,02섹터,미분류,기계,냉난방/공조,히트펌프,전기히트펌프,,
3-3B3-M-PWS-30233,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040888,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,43섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3B3-M-PWS-30252,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040889,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,32섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3B3-M-PWS-30251,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040890,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,31섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3B3-M-PWS-30250,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040891,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,29섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3B3-M-PWS-30249,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040892,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,28섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3B3-M-PWS-30248,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040893,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,27섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3B3-M-PWS-30247,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040894,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,42섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3B3-M-PWS-30246,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040895,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,43섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3B3-M-PWS-30245,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040896,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,44섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3B3-M-PWS-30243,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040897,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,46섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3B3-M-PWS-30242,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040898,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,46섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3B3-M-PWS-30241,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040899,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,46섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
