FIELD_MGT_NO_현장관리번호,EQ_NM_시설명칭,EQ_NO,FWK_FCLT_NM_기능시설명,TASK_NM_과업,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4
3G1-M-PAC-001,B5F E/L 기계실(B5-10-03) 벽걸이에어컨,1211876,B5F E/L 기계실(B5-10-03) 벽걸이에어컨,열원,기계그룹-열원사업소-열원-0000001,탑승단지>제1터미널지역>교통센터구역,교통센터,지하5층,B5F 남측,B5-10-03,기계,냉방설비,냉방설비 에어컨,벽걸이에어컨
3G1-M-PMP-001,B5F 남측 중층1 일반배수펌프1,1211877,B5F 남측 중층1 일반배수펌프1,열원,기계그룹-열원사업소-열원-0000002,탑승단지>제1터미널지역>교통센터구역,교통센터,지하5층,B5F 남측,미분류,기계,위생설비,위생설비 펌프,일반배수펌프
3G1-M-PMP-002,B5F 남측 중층1 일반배수펌프2,1211878,B5F 남측 중층1 일반배수펌프2,열원,기계그룹-열원사업소-열원-0000003,탑승단지>제1터미널지역>교통센터구역,교통센터,지하5층,B5F 남측,미분류,기계,위생설비,위생설비 펌프,일반배수펌프
3G1-M-PMP-003,B5F 남측 중층1 일반배수펌프3,1211879,B5F 남측 중층1 일반배수펌프3,열원,기계그룹-열원사업소-열원-0000004,탑승단지>제1터미널지역>교통센터구역,교통센터,지하5층,B5F 남측,미분류,기계,위생설비,위생설비 펌프,일반배수펌프
3G1-M-PMP-004,B5F 남측 중층1 일반배수펌프4,1211880,B5F 남측 중층1 일반배수펌프4,열원,기계그룹-열원사업소-열원-0000005,탑승단지>제1터미널지역>교통센터구역,교통센터,지하5층,B5F 남측,미분류,기계,위생설비,위생설비 펌프,일반배수펌프
3G1-M-PMP-005,B5F 남측 중층2 일반배수펌프1,1211881,B5F 남측 중층2 일반배수펌프1,열원,기계그룹-열원사업소-열원-0000006,탑승단지>제1터미널지역>교통센터구역,교통센터,지하5층,B5F 남측,미분류,기계,위생설비,위생설비 펌프,일반배수펌프
3G1-M-PMP-006,B5F 남측 중층2 일반배수펌프2,1211882,B5F 남측 중층2 일반배수펌프2,열원,기계그룹-열원사업소-열원-0000007,탑승단지>제1터미널지역>교통센터구역,교통센터,지하5층,B5F 남측,미분류,기계,위생설비,위생설비 펌프,일반배수펌프
3G1-M-PMP-007,B5F 남측 중층2 일반배수펌프3,1211883,B5F 남측 중층2 일반배수펌프3,열원,기계그룹-열원사업소-열원-0000008,탑승단지>제1터미널지역>교통센터구역,교통센터,지하5층,B5F 남측,미분류,기계,위생설비,위생설비 펌프,일반배수펌프
3G1-M-PMP-008,B5F 남측 중층2 일반배수펌프4,1211884,B5F 남측 중층2 일반배수펌프4,열원,기계그룹-열원사업소-열원-0000009,탑승단지>제1터미널지역>교통센터구역,교통센터,지하5층,B5F 남측,미분류,기계,위생설비,위생설비 펌프,일반배수펌프
3G2-M-PAC-005,B4F E/L기계실(B4-06-03) 스탠드에어컨,1211901,B4F E/L기계실(B4-06-03) 스탠드에어컨,열원,기계그룹-열원사업소-열원-0000010,탑승단지>제1터미널지역>교통센터구역,교통센터,지하4층,B4 철도구간,B4-06-03,기계,냉방설비,냉방설비 에어컨,스탠드에어컨
