FIELD_MGT_NO_현장관리번호,EQ_NM_시설명칭,EQ_NO,FWK_FCLT_NM_기능시설명,TASK_NM_과업,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4
,3F-4315,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000029,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-4315,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-4314,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000030,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-4314,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-4405,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000031,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-4405,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,B3-8-16 장,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000032,탑승단지>제1터미널>교통센터구역,제1교통센터,지하3층,,B3-8-16 장,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,B3-10-11 남,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000033,탑승단지>제1터미널>교통센터구역,제1교통센터,지하3층,,B3-10-11 남,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-4404,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000034,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-4404,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-4512,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000035,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-4512,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-4511,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000036,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-4511,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-2141,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000037,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-2141,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-2142,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000038,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-2142,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-2641,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000039,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-2641,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-2642,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000040,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-2642,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-7241,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000041,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7241,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-7242,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000042,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7242,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-7341,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000043,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7341,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-7342,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000044,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7342,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-7441,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000045,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7441,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-7442,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000046,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7442,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-7541,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000047,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7541,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-8442,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000048,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8442,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-8541,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000049,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8541,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-8542,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000050,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8542,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-5312,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000051,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5312,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-5311,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000052,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5311,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-5409,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000053,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5409,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-5410,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000054,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5410,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-5507,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000055,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5507,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-5508,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000056,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5508,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,4F-2927,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000057,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,4층,,4F-2927,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,4F-2926,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000058,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,4층,,4F-2926,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,4F-4103,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000059,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,4층,,4F-4103,기계,급수/배수/위생,위생기구/세면기/변기,화장실
