FIELD_MGT_NO,EQ_NM,EQ_NO,FWK_FCLT_NM,TASK_NM,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,QR,date
,화장실 3F-2641 남 ,,화장실 3F-2641 남 ,환경미화,기타-환경미화사업소-환경미화-0000702,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-2641 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-2642 여 ,,화장실 3F-2642 여 ,환경미화,기타-환경미화사업소-환경미화-0000703,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-2642 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-7241 남 ,,화장실 3F-7241 남 ,환경미화,기타-환경미화사업소-환경미화-0000704,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7241 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-7242 여 ,,화장실 3F-7242 여 ,환경미화,기타-환경미화사업소-환경미화-0000705,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7242 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-7341 남 ,,화장실 3F-7341 남 ,환경미화,기타-환경미화사업소-환경미화-0000706,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7341 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-7342 여 ,,화장실 3F-7342 여 ,환경미화,기타-환경미화사업소-환경미화-0000707,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7342 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-7441 남 ,,화장실 3F-7441 남 ,환경미화,기타-환경미화사업소-환경미화-0000708,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7441 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-7442 여 ,,화장실 3F-7442 여 ,환경미화,기타-환경미화사업소-환경미화-0000709,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7442 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-7541 남 ,,화장실 3F-7541 남 ,환경미화,기타-환경미화사업소-환경미화-0000710,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7541 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-7542 여 ,,화장실 3F-7542 여 ,환경미화,기타-환경미화사업소-환경미화-0000711,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7542 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-7641 남 ,,화장실 3F-7641 남 ,환경미화,기타-환경미화사업소-환경미화-0000712,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7641 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-7642 여 ,,화장실 3F-7642 여 ,환경미화,기타-환경미화사업소-환경미화-0000713,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7642 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-2622 남 ,,화장실 3F-2622 남 ,환경미화,기타-환경미화사업소-환경미화-0000714,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-2622 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-2917 여 ,,화장실 3F-2917 여 ,환경미화,기타-환경미화사업소-환경미화-0000715,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-2917 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-2916 남 ,,화장실 3F-2916 남 ,환경미화,기타-환경미화사업소-환경미화-0000716,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-2916 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-9842 여 ,,화장실 2F-9842 여 ,환경미화,기타-환경미화사업소-환경미화-0000717,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-9842 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3007 남 ,,화장실 2F-3007 남 ,환경미화,기타-환경미화사업소-환경미화-0000718,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3007 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3233 남 ,,화장실 2F-3233 남 ,환경미화,기타-환경미화사업소-환경미화-0000719,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3233 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3232 여 ,,화장실 2F-3232 여 ,환경미화,기타-환경미화사업소-환경미화-0000720,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3232 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3241 남 ,,화장실 2F-3241 남 ,환경미화,기타-환경미화사업소-환경미화-0000721,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3241 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3242 여 ,,화장실 2F-3242 여 ,환경미화,기타-환경미화사업소-환경미화-0000722,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3242 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3804 남 ,,화장실 2F-3804 남 ,환경미화,기타-환경미화사업소-환경미화-0000723,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3804 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3803 여 ,,화장실 2F-3803 여 ,환경미화,기타-환경미화사업소-환경미화-0000724,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3803 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-5208 남 ,,화장실 2F-5208 남 ,환경미화,기타-환경미화사업소-환경미화-0000725,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-5208 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-5209 여 ,,화장실 2F-5209 여 ,환경미화,기타-환경미화사업소-환경미화-0000726,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-5209 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-5402 남 ,,화장실 2F-5402 남 ,환경미화,기타-환경미화사업소-환경미화-0000727,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-5402 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-5403 여 ,,화장실 2F-5403 여 ,환경미화,기타-환경미화사업소-환경미화-0000728,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-5403 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-5503 남 ,,화장실 2F-5503 남 ,환경미화,기타-환경미화사업소-환경미화-0000729,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-5503 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-5502 여 ,,화장실 2F-5502 여 ,환경미화,기타-환경미화사업소-환경미화-0000730,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-5502 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-5606 남 ,,화장실 2F-5606 남 ,환경미화,기타-환경미화사업소-환경미화-0000731,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-5606 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-5607 여 ,,화장실 2F-5607 여 ,환경미화,기타-환경미화사업소-환경미화-0000732,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-5607 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3217 남 ,,화장실 2F-3217 남 ,환경미화,기타-환경미화사업소-환경미화-0000733,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3217 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3215 남 ,,화장실 2F-3215 남 ,환경미화,기타-환경미화사업소-환경미화-0000734,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3215 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3210 남 ,,화장실 2F-3210 남 ,환경미화,기타-환경미화사업소-환경미화-0000735,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3210 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3207 남 ,,화장실 2F-3207 남 ,환경미화,기타-환경미화사업소-환경미화-0000736,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3207 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3208 여 ,,화장실 2F-3208 여 ,환경미화,기타-환경미화사업소-환경미화-0000737,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3208 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3261 여 ,,화장실 2F-3261 여 ,환경미화,기타-환경미화사업소-환경미화-0000738,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3261 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-3262 남 ,,화장실 2F-3262 남 ,환경미화,기타-환경미화사업소-환경미화-0000739,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3262 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-2935 남 ,,화장실 3F-2935 남 ,환경미화,기타-환경미화사업소-환경미화-0000740,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-2935 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-2936 여 ,,화장실 3F-2936 여 ,환경미화,기타-환경미화사업소-환경미화-0000741,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-2936 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-2904 여 ,,화장실 3F-2904 여 ,환경미화,기타-환경미화사업소-환경미화-0000742,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-2904 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-7741 남 ,,화장실 3F-7741 남 ,환경미화,기타-환경미화사업소-환경미화-0000743,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7741 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-7742 여 ,,화장실 3F-7742 여 ,환경미화,기타-환경미화사업소-환경미화-0000744,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7742 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9642 여 ,,화장실 3F-9642 여 ,환경미화,기타-환경미화사업소-환경미화-0000745,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9642 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9841 남 ,,화장실 3F-9841 남 ,환경미화,기타-환경미화사업소-환경미화-0000746,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9841 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9842 여 ,,화장실 3F-9842 여 ,환경미화,기타-환경미화사업소-환경미화-0000747,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9842 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9847 남 ,,화장실 3F-9847 남 ,환경미화,기타-환경미화사업소-환경미화-0000748,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9847 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9848 여 ,,화장실 3F-9848 여 ,환경미화,기타-환경미화사업소-환경미화-0000749,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9848 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3119 남 ,,화장실 3F-3119 남 ,환경미화,기타-환경미화사업소-환경미화-0000750,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3119 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3120 여 ,,화장실 3F-3120 여 ,환경미화,기타-환경미화사업소-환경미화-0000751,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3120 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3151 여 ,,화장실 3F-3151 여 ,환경미화,기타-환경미화사업소-환경미화-0000752,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3151 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3139 남 ,,화장실 3F-3139 남 ,환경미화,기타-환경미화사업소-환경미화-0000753,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3139 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3138 여 ,,화장실 3F-3138 여 ,환경미화,기타-환경미화사업소-환경미화-0000754,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3138 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3402 남 ,,화장실 3F-3402 남 ,환경미화,기타-환경미화사업소-환경미화-0000755,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3402 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3403 여 ,,화장실 3F-3403 여 ,환경미화,기타-환경미화사업소-환경미화-0000756,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3403 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 환승장 내 가족실 ,,화장실 환승장 내 가족실 ,환경미화,기타-환경미화사업소-환경미화-0000757,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,환승장 내 가족실,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3905 남 ,,화장실 3F-3905 남 ,환경미화,기타-환경미화사업소-환경미화-0000758,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3905 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3904 여 ,,화장실 3F-3904 여 ,환경미화,기타-환경미화사업소-환경미화-0000759,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3904 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-5204 남 ,,화장실 3F-5204 남 ,환경미화,기타-환경미화사업소-환경미화-0000760,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5204 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-5203 여 ,,화장실 3F-5203 여 ,환경미화,기타-환경미화사업소-환경미화-0000761,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5203 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-5312 남 ,,화장실 3F-5312 남 ,환경미화,기타-환경미화사업소-환경미화-0000762,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5312 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-5311 여 ,,화장실 3F-5311 여 ,환경미화,기타-환경미화사업소-환경미화-0000763,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5311 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-5409 남 ,,화장실 3F-5409 남 ,환경미화,기타-환경미화사업소-환경미화-0000764,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5409 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-5410 여 ,,화장실 3F-5410 여 ,환경미화,기타-환경미화사업소-환경미화-0000765,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5410 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-5507 남 ,,화장실 3F-5507 남 ,환경미화,기타-환경미화사업소-환경미화-0000766,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5507 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-5508 여 ,,화장실 3F-5508 여 ,환경미화,기타-환경미화사업소-환경미화-0000767,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5508 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 4F-2927 남 ,,화장실 4F-2927 남 ,환경미화,기타-환경미화사업소-환경미화-0000768,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,4층,,4F-2927 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 4F-2926 여 ,,화장실 4F-2926 여 ,환경미화,기타-환경미화사업소-환경미화-0000769,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,4층,,4F-2926 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 4F-4103 남 ,,화장실 4F-4103 남 ,환경미화,기타-환경미화사업소-환경미화-0000770,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,4층,,4F-4103 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9641 남 ,,화장실 3F-9641 남 ,환경미화,기타-환경미화사업소-환경미화-0000771,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9641 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9542 여 ,,화장실 3F-9542 여 ,환경미화,기타-환경미화사업소-환경미화-0000772,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9542 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9541 남 ,,화장실 3F-9541 남 ,환경미화,기타-환경미화사업소-환경미화-0000773,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9541 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9041 남 ,,화장실 3F-9041 남 ,환경미화,기타-환경미화사업소-환경미화-0000774,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9041 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9042 여 ,,화장실 3F-9042 여 ,환경미화,기타-환경미화사업소-환경미화-0000775,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9042 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9141 남 ,,화장실 3F-9141 남 ,환경미화,기타-환경미화사업소-환경미화-0000776,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9141 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9142 여 ,,화장실 3F-9142 여 ,환경미화,기타-환경미화사업소-환경미화-0000777,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9142 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9341 남 ,,화장실 3F-9341 남 ,환경미화,기타-환경미화사업소-환경미화-0000778,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9341 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9342 여 ,,화장실 3F-9342 여 ,환경미화,기타-환경미화사업소-환경미화-0000779,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9342 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9347 남 ,,화장실 3F-9347 남 ,환경미화,기타-환경미화사업소-환경미화-0000780,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9347 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-9348 여 ,,화장실 3F-9348 여 ,환경미화,기타-환경미화사업소-환경미화-0000781,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9348 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3441 남 ,,화장실 3F-3441 남 ,환경미화,기타-환경미화사업소-환경미화-0000782,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3441 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3442 여 ,,화장실 3F-3442 여 ,환경미화,기타-환경미화사업소-환경미화-0000783,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3442 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3551 남 ,,화장실 3F-3551 남 ,환경미화,기타-환경미화사업소-환경미화-0000784,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3551 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3552 여 ,,화장실 3F-3552 여 ,환경미화,기타-환경미화사업소-환경미화-0000785,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3552 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3641 남 ,,화장실 3F-3641 남 ,환경미화,기타-환경미화사업소-환경미화-0000786,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3641 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3642 여 ,,화장실 3F-3642 여 ,환경미화,기타-환경미화사업소-환경미화-0000787,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3642 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3841 남 ,,화장실 3F-3841 남 ,환경미화,기타-환경미화사업소-환경미화-0000788,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3841 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-3842 여 ,,화장실 3F-3842 여 ,환경미화,기타-환경미화사업소-환경미화-0000789,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3842 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-8341 남 ,,화장실 3F-8341 남 ,환경미화,기타-환경미화사업소-환경미화-0000790,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8341 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-8342 여 ,,화장실 3F-8342 여 ,환경미화,기타-환경미화사업소-환경미화-0000791,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8342 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-8441 남 ,,화장실 3F-8441 남 ,환경미화,기타-환경미화사업소-환경미화-0000792,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8441 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-8442 여 ,,화장실 3F-8442 여 ,환경미화,기타-환경미화사업소-환경미화-0000793,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8442 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-8541 남 ,,화장실 3F-8541 남 ,환경미화,기타-환경미화사업소-환경미화-0000794,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8541 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-8542 여 ,,화장실 3F-8542 여 ,환경미화,기타-환경미화사업소-환경미화-0000795,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8542 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-8641 남 ,,화장실 3F-8641 남 ,환경미화,기타-환경미화사업소-환경미화-0000796,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8641 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-8642 여 ,,화장실 3F-8642 여 ,환경미화,기타-환경미화사업소-환경미화-0000797,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8642 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-8741 남 ,,화장실 3F-8741 남 ,환경미화,기타-환경미화사업소-환경미화-0000798,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8741 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 3F-8742 여 ,,화장실 3F-8742 여 ,환경미화,기타-환경미화사업소-환경미화-0000799,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8742 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-9841 남 ,,화장실 2F-9841 남 ,환경미화,기타-환경미화사업소-환경미화-0000800,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-9841 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-9742 여 ,,화장실 2F-9742 여 ,환경미화,기타-환경미화사업소-환경미화-0000801,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-9742 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
,화장실 2F-2806 남 ,,화장실 2F-2806 남 ,환경미화,기타-환경미화사업소-환경미화-0000802,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-2806 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,#N/A,#N/A
