FIELD_MGT_NO,EQ_NM,EQ_NO,FWK_FCLT_NM,TASK_NM,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,QR,date
,화장실 1-6-12  남,,화장실 1-6-12  남,환경미화,기타-환경미화사업소-환경미화-0000441,탑승단지>제1터미널>교통센터구역,제1교통센터,1층,,1-6-12  남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00002361,2009-01-03 22:46
,화장실 B1-1510 여 ,,화장실 B1-1510 여 ,환경미화,기타-환경미화사업소-환경미화-0000604,탑승단지>제2터미널지역>본관구역,제2교통센터,지하1층,,B1-1510 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00002513,2009-01-01 1:50
,화장실 B1-6-9  여,,화장실 B1-6-9  여,환경미화,기타-환경미화사업소-환경미화-0000413,탑승단지>제1터미널>교통센터구역,제1교통센터,지하1층,,B1-6-9  여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00002541,2009-01-03 22:52
,화장실 M-1703 남 ,,화장실 M-1703 남 ,환경미화,기타-환경미화사업소-환경미화-0000623,탑승단지>제2터미널지역>본관구역,제2단기주차장,M층,,M-1703 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00002652,2009-01-03 18:12
,화장실 2F-0242 여 ,,화장실 2F-0242 여 ,환경미화,기타-환경미화사업소-환경미화-0000634,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,2층,,2F-0242 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00002698,2009-01-03 21:18
,화장실 B1-1244 여 ,,화장실 B1-1244 여 ,환경미화,기타-환경미화사업소-환경미화-0000660,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-1244 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00002716,2009-01-01 1:25
,화장실 B1-8-15 장,,화장실 B1-8-15 장,환경미화,기타-환경미화사업소-환경미화-0000419,탑승단지>제1터미널>교통센터구역,제1교통센터,지하1층,,B1-8-15 장,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00002799,2009-01-01 6:42
,화장실 R2004 여,,화장실 R2004 여,환경미화,기타-환경미화사업소-환경미화-0000248,탑승단지>탑승동지역>탑승구역,탑승동,2층,,R2004 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00003008,2009-01-01 2:03
,화장실 B1-0618 여 ,,화장실 B1-0618 여 ,환경미화,기타-환경미화사업소-환경미화-0000586,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-0618 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00003122,2009-01-01 2:01
,화장실 1F-0503 남 ,,화장실 1F-0503 남 ,환경미화,기타-환경미화사업소-환경미화-0000669,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,1층,,1F-0503 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00003565,2009-01-03 18:46
,화장실 3F-2926 여 ,,화장실 3F-2926 여 ,환경미화,기타-환경미화사업소-환경미화-0000646,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,3층,,3F-2926 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00003581,2009-01-03 21:30
,화장실 4F-3121 여 ,,화장실 4F-3121 여 ,환경미화,기타-환경미화사업소-환경미화-0000509,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,4층,,4F-3121 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00004083,2009-01-01 5:02
,화장실 2F-1502 남 ,,화장실 2F-1502 남 ,환경미화,기타-환경미화사업소-환경미화-0000600,탑승단지>제2터미널지역>본관구역,제2단기주차장,2층,,2F-1502 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00004180,2009-01-03 18:34
,화장실 B1-2103 남 ,,화장실 B1-2103 남 ,환경미화,기타-환경미화사업소-환경미화-0000605,탑승단지>제2터미널지역>본관구역,제2교통센터,지하1층,,B1-2103 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00004270,2009-01-01 1:53
,화장실 2F-1004 여 ,,화장실 2F-1004 여 ,환경미화,기타-환경미화사업소-환경미화-0000638,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,2층,,2F-1004 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00004617,2009-01-01 4:35
,화장실 R1009 여,,화장실 R1009 여,환경미화,기타-환경미화사업소-환경미화-0000259,탑승단지>탑승동지역>탑승구역,탑승동,1층,,R1009 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00004648,2009-01-01 2:53
,화장실 B1-2208 여 ,,화장실 B1-2208 여 ,환경미화,기타-환경미화사업소-환경미화-0000612,탑승단지>제2터미널지역>본관구역,제2교통센터,지하1층,,B1-2208 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00004792,2009-01-01 1:41
,화장실 R3004 남,,화장실 R3004 남,환경미화,기타-환경미화사업소-환경미화-0000337,탑승단지>탑승동지역>탑승구역,탑승동,3층,,R3004 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00005064,2009-01-01 1:30
,화장실 B1-3-19  여(장),,화장실 B1-3-19  여(장),환경미화,기타-환경미화사업소-환경미화-0000404,탑승단지>제1터미널>교통센터구역,제1교통센터,지하1층,,B1-3-19  여(장),환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00005244,2009-01-01 6:46
,화장실 2F-1601 남 ,,화장실 2F-1601 남 ,환경미화,기타-환경미화사업소-환경미화-0000573,탑승단지>제2터미널지역>본관구역,제2단기주차장,2층,,2F-1601 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00005250,2009-01-03 17:54
,화장실 4F-2605 남 ,,화장실 4F-2605 남 ,환경미화,기타-환경미화사업소-환경미화-0000496,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,4층,,4F-2605 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00005541,2009-01-03 21:40
,화장실 B1-0621 남 ,,화장실 B1-0621 남 ,환경미화,기타-환경미화사업소-환경미화-0000587,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-0621 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00025792,2009-01-01 2:04
,화장실 B1-0508 여 ,,화장실 B1-0508 여 ,환경미화,기타-환경미화사업소-환경미화-0000590,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-0508 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00005767,2009-01-01 2:06
,화장실 B1-0605 여 ,,화장실 B1-0605 여 ,환경미화,기타-환경미화사업소-환경미화-0000584,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-0605 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00005913,2009-01-04 0:03
,화장실 B1-0241 남 ,,화장실 B1-0241 남 ,환경미화,기타-환경미화사업소-환경미화-0000591,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-0241 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00006004,2009-01-01 2:14
,화장실 B1-0604 남 ,,화장실 B1-0604 남 ,환경미화,기타-환경미화사업소-환경미화-0000583,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-0604 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00006214,2009-01-04 0:03
,화장실 2F-0810 여 ,,화장실 2F-0810 여 ,환경미화,기타-환경미화사업소-환경미화-0000640,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,2층,,2F-0810 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00006278,2009-01-01 4:31
,화장실 3F-1502 남 ,,화장실 3F-1502 남 ,환경미화,기타-환경미화사업소-환경미화-0000575,탑승단지>제2터미널지역>본관구역,제2단기주차장,3층,,3F-1502 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00006578,2009-01-03 18:33
,화장실 B3-5-17  남,,화장실 B3-5-17  남,환경미화,기타-환경미화사업소-환경미화-0000264,탑승단지>제1터미널>교통센터구역,제1교통센터,지하3층,,B3-5-17  남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00006594,2009-01-03 23:02
,화장실 R2011 여,,화장실 R2011 여,환경미화,기타-환경미화사업소-환경미화-0000320,탑승단지>탑승동지역>탑승구역,탑승동,2층,,R2011 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00006642,2009-01-01 2:15
