현장관리번호,EQ_NM_시설명칭,FWK_FCLT_NM_기능시설명,TASK_NM_과업,SOU_ID_임시시설번호,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,qrcode,qrcode 등록일시
3-3H2.5-M-HCP-M1701,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003502,외곽지역,제2교통센터,지하1층,17섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H2.5-M-HCP-M1402,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003503,외곽지역,제2교통센터,지하1층,14섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H2.5-M-HCP-M1401,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003504,외곽지역,제2교통센터,지하1층,14섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H2-M-HCP-23001,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003505,외곽지역,제2교통센터,지하1층,30섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H2-M-HCP-22001,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003506,외곽지역,제2교통센터,지하1층,20섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H1-M-HCT-21701,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003507,외곽지역,제2교통센터,지하1층,17섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H1-M-HCT-21601,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003508,외곽지역,제2교통센터,지하1층,16섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H1-M-HCT-21501,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003509,외곽지역,제2교통센터,지하1층,15섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
4-3B3-M-FCU-37712-2,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003510,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37713,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003511,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37714,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003512,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-39005-2,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003513,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,90섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-39005-1,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003514,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,90섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-39004,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003515,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,90섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B1-C-DDC-14201,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0003516,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하2층,42섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
4-3B3-M-DDC-10002,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0003517,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상1층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
4-3B3-M-DDC-10001,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0003518,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상1층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
4-3B3-M-DDC-10004,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0003519,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상1층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
4-3B3-M-DDC-10003,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0003520,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상1층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
4-3B4-C-DDC-45504,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0003521,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상2층,55섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
4-3B3-C-DDC-34501,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0003522,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상1층,45섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
4-3B1-C-DDC-15201,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0003523,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하2층,52섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
4-3B3-M-FCU-39003-2,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003524,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,90섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-39003-1,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003525,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,90섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-39002,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003526,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,90섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-39001,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003527,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,90섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37710-1,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003528,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37709-3,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003529,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
3-3B3-M-HCT-35201,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003530,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,52섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3B3-M-HCT-34201,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003531,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,42섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
4-3B3-M-FCU-37705-1,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003532,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37704-2,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003533,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37704-1,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003534,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37703,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003535,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37701-2,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003536,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37701-1,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003537,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37609,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003538,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,76섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
