현장관리번호,EQ_NM_시설명칭,FWK_FCLT_NM_기능시설명,TASK_NM_과업,SOU_ID_임시시설번호,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,qrcode,qrcode 등록일시
4-3B3-M-FCU-39204-2,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003419,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,92섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-39204-1,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003420,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,92섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
3-3B3-C-DDC-34201,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0003421,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,42섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
4-3B3-M-FCU-39009-1,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003422,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,90섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-39008,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003423,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,90섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-39006,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003424,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,90섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3H4-M-HCP-41601,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003425,외곽지역,제2교통센터,지상2층,16섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
4-3H4-M-HCP-41501,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003426,외곽지역,제2교통센터,지상2층,15섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
4-3B3-M-HCP-L3-E14,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003427,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,09섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
4-3B3-M-HCP-L3-E13,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003428,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,09섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
4-3B3-M-HCP-L3-E12,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003429,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,09섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
