현장관리번호,시설번호,시설명칭,기능위치명,기능시설명,구분,F1(대),F2(중),F3(소),F4(세),L2(단지),L3(건물),L4(층),L5(섹터),L6(룸),L7(상세),자산번호,자산명,설비범주명,시설유형,관리부서명,작업장,시설그룹명(공종),코스트센터명,과업,사업소,그룹,식별구분,식별번호,기능위치일련번호,TOBE_위치코드,상위현장관리번호,CFMS기등록여부,사용여부,소스구분,담당자,음영여부
11-001,8001814.0,여객터미널 리프트컬럼 유압실린더 - 1,여객터미널-운송-탑승교설비-GATE 1-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-001,A1A01-F-020101,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020101,13A0MPBB010,Y,사용,CFMS,이철,
11-002,8001815.0,여객터미널 리프트컬럼 유압실린더 - 2,여객터미널-운송-탑승교설비-GATE 1-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-002,A1A01-F-020101,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020101,13A0MPBB010,Y,사용,CFMS,이철,
11-003,8001816.0,여객터미널 리프트컬럼 유압실린더 - 3,여객터미널-운송-탑승교설비-GATE 2-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-003,A1A01-F-020201,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020201,13A0MPBB020,Y,사용,CFMS,이철,
11-004,8001817.0,여객터미널 리프트컬럼 유압실린더 - 4,여객터미널-운송-탑승교설비-GATE 2-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-004,A1A01-F-020201,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020201,13A0MPBB020,Y,사용,CFMS,이철,
11-005,8001818.0,여객터미널 리프트컬럼 유압실린더 - 5,여객터미널-운송-탑승교설비-GATE 3-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-005,A1A01-F-020301,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020301,13A0MPBB030,Y,사용,CFMS,이철,
11-006,8001819.0,여객터미널 리프트컬럼 유압실린더 - 6,여객터미널-운송-탑승교설비-GATE 3-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-006,A1A01-F-020301,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020301,13A0MPBB030,Y,사용,CFMS,이철,
11-007,8001820.0,여객터미널 리프트컬럼 유압실린더 - 7,여객터미널-운송-탑승교설비-GATE 6-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000568.0,1단계 이동식탑승교 중앙감시시스템,순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-007,A1A01-F-020401,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020401,13A0MPBB061,Y,사용,CFMS,이철,
11-008,8001821.0,여객터미널 리프트컬럼 유압실린더 - 8,여객터미널-운송-탑승교설비-GATE 6-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000568.0,1단계 이동식탑승교 중앙감시시스템,순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-008,A1A01-F-020401,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020401,13A0MPBB061,Y,사용,CFMS,이철,
11-009,8001822.0,여객터미널 리프트컬럼 유압실린더 - 9,여객터미널-운송-탑승교설비-GATE 6-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-009,A1A01-F-020402,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020402,13A0MPBB062,Y,사용,CFMS,이철,
11-010,8001823.0,여객터미널 리프트컬럼 유압실린더 - 10,여객터미널-운송-탑승교설비-GATE 6-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-010,A1A01-F-020402,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020402,13A0MPBB062,Y,사용,CFMS,이철,
11-011,8001824.0,여객터미널 리프트컬럼 유압실린더 - 11,여객터미널-운송-탑승교설비-GATE 7-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-011,A1A01-F-020501,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020501,13A0MPBB071,Y,사용,CFMS,이철,
11-012,8001825.0,여객터미널 리프트컬럼 유압실린더 - 12,여객터미널-운송-탑승교설비-GATE 7-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-012,A1A01-F-020501,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020501,13A0MPBB071,Y,사용,CFMS,이철,
11-013,8001826.0,여객터미널 리프트컬럼 유압실린더 - 13,여객터미널-운송-탑승교설비-GATE 7-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-013,A1A01-F-020502,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020502,13A0MPBB072,Y,사용,CFMS,이철,
11-014,8001827.0,여객터미널 리프트컬럼 유압실린더 - 14,여객터미널-운송-탑승교설비-GATE 7-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-014,A1A01-F-020502,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020502,13A0MPBB072,Y,사용,CFMS,이철,
11-015,8001828.0,여객터미널 리프트컬럼 유압실린더 - 15,여객터미널-운송-탑승교설비-GATE 8-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-015,A1A01-F-020601,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020601,13A0MPBB081,Y,사용,CFMS,이철,
11-016,8001829.0,여객터미널 리프트컬럼 유압실린더 - 16,여객터미널-운송-탑승교설비-GATE 8-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-016,A1A01-F-020601,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020601,13A0MPBB081,Y,사용,CFMS,이철,
11-017,8001830.0,여객터미널 리프트컬럼 유압실린더 - 17,여객터미널-운송-탑승교설비-GATE 8-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-017,A1A01-F-020602,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020602,13A0MPBB082,Y,사용,CFMS,이철,
11-018,8001831.0,여객터미널 리프트컬럼 유압실린더 - 18,여객터미널-운송-탑승교설비-GATE 8-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-018,A1A01-F-020602,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020602,13A0MPBB082,Y,사용,CFMS,이철,
11-019,8001832.0,여객터미널 리프트컬럼 유압실린더 - 19,여객터미널-운송-탑승교설비-GATE 9-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-019,A1A01-F-020701,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020701,13A0MPBB091,Y,사용,CFMS,이철,
11-020,8001833.0,여객터미널 리프트컬럼 유압실린더 - 20,여객터미널-운송-탑승교설비-GATE 9-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-020,A1A01-F-020701,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020701,13A0MPBB091,Y,사용,CFMS,이철,
11-021,8001834.0,여객터미널 리프트컬럼 유압실린더 - 21,여객터미널-운송-탑승교설비-GATE 9-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-021,A1A01-F-020702,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020702,13A0MPBB092,Y,사용,CFMS,이철,
11-022,8001835.0,여객터미널 리프트컬럼 유압실린더 - 22,여객터미널-운송-탑승교설비-GATE 9-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-022,A1A01-F-020702,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020702,13A0MPBB092,Y,사용,CFMS,이철,
11-023,8001836.0,여객터미널 리프트컬럼 유압실린더 - 23,여객터미널-운송-탑승교설비-GATE 10-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-023,A1A01-F-020801,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020801,13A0MPBB101,Y,사용,CFMS,이철,
11-024,8001837.0,여객터미널 리프트컬럼 유압실린더 - 24,여객터미널-운송-탑승교설비-GATE 10-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-024,A1A01-F-020801,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020801,13A0MPBB101,Y,사용,CFMS,이철,
11-025,8001838.0,여객터미널 리프트컬럼 유압실린더 - 25,여객터미널-운송-탑승교설비-GATE 10-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-025,A1A01-F-020802,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020802,13A0MPBB102,Y,사용,CFMS,이철,
11-026,8001839.0,여객터미널 리프트컬럼 유압실린더 - 26,여객터미널-운송-탑승교설비-GATE 10-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-026,A1A01-F-020802,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020802,13A0MPBB102,Y,사용,CFMS,이철,
11-027,8001840.0,여객터미널 리프트컬럼 유압실린더 - 27,여객터미널-운송-탑승교설비-GATE 11-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-027,A1A01-F-020901,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020901,13A0MPBB111,Y,사용,CFMS,이철,
11-028,8001841.0,여객터미널 리프트컬럼 유압실린더 - 28,여객터미널-운송-탑승교설비-GATE 11-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-028,A1A01-F-020901,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020901,13A0MPBB111,Y,사용,CFMS,이철,
11-029,8001842.0,여객터미널 리프트컬럼 유압실린더 - 29,여객터미널-운송-탑승교설비-GATE 11-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-029,A1A01-F-020902,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020902,13A0MPBB112,Y,사용,CFMS,이철,
11-030,8001843.0,여객터미널 리프트컬럼 유압실린더 - 30,여객터미널-운송-탑승교설비-GATE 11-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-030,A1A01-F-020902,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020902,13A0MPBB112,Y,사용,CFMS,이철,
11-031,8001844.0,여객터미널 리프트컬럼 유압실린더 - 31,여객터미널-운송-탑승교설비-GATE 12-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-031,A1A01-F-021001,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-021001,13A0MPBB121,Y,사용,CFMS,이철,
11-032,8001845.0,여객터미널 리프트컬럼 유압실린더 - 32,여객터미널-운송-탑승교설비-GATE 12-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-032,A1A01-F-021001,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-021001,13A0MPBB121,Y,사용,CFMS,이철,
11-033,8001846.0,여객터미널 리프트컬럼 유압실린더 - 33,여객터미널-운송-탑승교설비-GATE 12-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-033,A1A01-F-021002,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-021002,13A0MPBB122,Y,사용,CFMS,이철,
11-034,8001847.0,여객터미널 리프트컬럼 유압실린더 - 34,여객터미널-운송-탑승교설비-GATE 12-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-034,A1A01-F-021002,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-021002,13A0MPBB122,Y,사용,CFMS,이철,
11-035,8001848.0,여객터미널 리프트컬럼 유압실린더 - 35,여객터미널-운송-탑승교설비-GATE 14-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-035,A1A01-F-021101,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-021101,13A0MPBB141,Y,사용,CFMS,이철,
11-036,8001849.0,여객터미널 리프트컬럼 유압실린더 - 36,여객터미널-운송-탑승교설비-GATE 14-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-036,A1A01-F-021101,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-021101,13A0MPBB141,Y,사용,CFMS,이철,
11-037,8001850.0,여객터미널 리프트컬럼 유압실린더 - 37,여객터미널-운송-탑승교설비-GATE 14-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-037,A1A01-F-021102,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-021102,13A0MPBB142,Y,사용,CFMS,이철,
11-038,8001851.0,여객터미널 리프트컬럼 유압실린더 - 38,여객터미널-운송-탑승교설비-GATE 14-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-038,A1A01-F-021102,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-021102,13A0MPBB142,Y,사용,CFMS,이철,
11-039,8001852.0,여객터미널 리프트컬럼 유압실린더 - 39,여객터미널-운송-탑승교설비-GATE 15-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-039,A1A01-F-021201,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-021201,13A0MPBB151,Y,사용,CFMS,이철,
11-040,8001853.0,여객터미널 리프트컬럼 유압실린더 - 40,여객터미널-운송-탑승교설비-GATE 15-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-040,A1A01-F-021201,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-021201,13A0MPBB151,Y,사용,CFMS,이철,
11-041,8001854.0,여객터미널 리프트컬럼 유압실린더 - 41,여객터미널-운송-탑승교설비-GATE 15-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-041,A1A01-F-021202,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-021202,13A0MPBB152,Y,사용,CFMS,이철,
11-042,8001855.0,여객터미널 리프트컬럼 유압실린더 - 42,여객터미널-운송-탑승교설비-GATE 15-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-042,A1A01-F-021202,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-021202,13A0MPBB152,Y,사용,CFMS,이철,
11-043,8001856.0,여객터미널 리프트컬럼 유압실린더 - 43,여객터미널-운송-탑승교설비-GATE 16-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-043,A1A01-F-021301,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-021301,13A0MPBB160,Y,사용,CFMS,이철,
11-044,8001857.0,여객터미널 리프트컬럼 유압실린더 - 44,여객터미널-운송-탑승교설비-GATE 16-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-044,A1A01-F-021301,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-021301,13A0MPBB160,Y,사용,CFMS,이철,
